Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews
Women's adidas Originals NMD_Racer Primeknit Shoes,AH2430,149.99,74.99,50,Adidas Adidas ORIGINALS,4.8,41
Women's adidas Originals Sleek Shoes,G27341,75.99,37.99,50,Adidas ORIGINALS,3.3,24
Women's adidas Swim Puka Slippers,CM0081,9.99,5.99,40,Adidas CORE / NEO,2.6,37
Women's adidas Sport Inspired Questar Ride Shoes,B44832,69.99,34.99,50,Adidas CORE / NEO,4.1,35
Women's adidas Originals Taekwondo Shoes,D98205,79.99,39.99,50,Adidas ORIGINALS,3.5,72
Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,B75586,47.99,19.2,60,Adidas CORE / NEO,1,45
Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,CG4051,47.99,23.99,50,Adidas CORE / NEO,4.4,2
Women's adidas Swim Puka Slippers,CM0080,9.99,5.99,40,Adidas CORE / NEO,2.8,7
WOMEN'S ADIDAS RUNNING DURAMO 9 SHOES,B75990,55.99,27.99,50,Adidas CORE / NEO,4.5,16
Men's adidas Originals Forest Grove Shoes,EE5761,65.99,39.59,40,Adidas ORIGINALS,4,39
Women's adidas Originals Swift Run Shoes,EE4553,75.99,45.59,40,Adidas ORIGINALS,2.7,36
Women's adidas Originals Continental Vulc Shoes,EF9315,65.99,39.59,40,Adidas ORIGINALS,4.2,35
Women's adidas Running Duramo 9 Shoes,F35281,59.99,29.99,50,Adidas CORE / NEO,2.6,97
Women's adidas Originals Supercourt Shoes,EF9220,75.99,45.59,40,Adidas ORIGINALS,3.1,62
Men's adidas Sport Inspired Response Trail Shoes,EG0000,79.99,39.99,50,Adidas CORE / NEO,3.2,16
Women's adidas Running Cosmic 2 Shoes,B44889,59.99,29.99,50,Adidas CORE / NEO,3.1,69
Women's adidas Sport Inspired Storm Runner Shoes,CL7417,45.99,22.99,50,Adidas CORE / NEO,1,16
